College _Name,,State,Year of Inception,"R1 Closing Rank
2022","Total 
Seat Alloted in R1","R2 Closing Rank
2022","Total 
Seat Alloted in R2","R3 Closing Rank
2022","Total 
Seat Alloted in R3"
MYSORE MED.& RESEARCH INST. MYSORE,Can get,Karnataka,1924,2154,9,6583,5,13151,3
"INDIRA GANDHI MEDICAL COLL., SHIMLA",,Himachal Pradesh,1966,2174,7,3122,4,6433,2
"ESIC Medical College, Faridabad",,Haryana,2015,3562,7,4040,3,5853,2
"ESIC Medical College, Hyderbad",Can get,Telangana,2016,5390,7,7828,6,15786,3
"AIIMS, Kalyani",,West Bengal,2019,2783,49,2307,7,--,--
"MG Inst. of Medical Sciences, Sevagram Wardha",,Maharashtra,1969,8174,16,10620,16,18108,10
"GOVT. MEDICAL COLLEGE,AURANGABAD",Can consider,Maharashtra,1956,6634,11,9300,10,15515,6
"R.G. KAR MEDICAL COLLEGE,KOLKATA",Can get,West Bengal,1916,5279,14,7147,13,13054,4
"ESI-MC&PGIMS&R, Banglore",,Karnataka,2012,5320,11,7058,8,14828,4
"KARNATAK INST. OF MEDICAL SC.,HUBLI",Can get,Karnataka,1957,4672,13,7844,5,15288,4
"Jawaharlal Nehru Medical College, AMU,ALIGARH",Muslim College,Uttar Pradesh,1961,3028,68,3696,25,6205,5
"JAWAHAR LAL NEHRU MEDICAL, AJMER",Can get,Rajasthan,1965,3875,13,5974,10,11033,7
"AIIMS, Bibi Nagar, Hyderabad",Location issue,Telangana,2019,2866,38,3061,19,6673,4
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",Location issue,Himachal Pradesh,2021,3109,39,3079,12,--,--
AIIMS Guahawti,Location issue,Assam,2020,4073,38,4643,17,7695,3
AIIMS Rajkot,,Gujarat,2020,2790,20,3352,13,7046,5
"RAJENDRA INST. OF MED. SCI., RANCHI",Location issue,Jharkhand,1960,4953,10,7027,6,9986,1
"GOVT.MEDICAL COLLEGE, KOTA",,Rajasthan,1992,4376,13,6726,11,11247,4
AIIMS Jammu,,Jammu & Kashmir,2020,4497,23,4491,12,--,--
"Uttar Pradesh University of Medical Sciences, Saifai, Etawah",Can consider,Uttar Pradesh,2006,6710,12,9299,11,15093,5
Govt Medical College Faizabad,,Uttar Pradesh,2019,9041,6,10917,6,16134,4
"GMC, Azamgarh, UP",,Uttar Pradesh,2013,8526,6,11137,6,16829,4
"Govt. Medical College, Kannauj",,Uttar Pradesh,2012,8035,6,10172,6,15596,4
JIPMER KARAIKAL,Location issue,Pondicherry,2016,2571,18,4473,18,11627,12
"Government Doon Medcial College, Dehradun",Can consider,Uttarakhand,2016,5853,8,6524,8,12293,3
"MADRAS MEDICAL COLLEGE, CHENNAI",Can consider,Tamil Nadu,1835,797,14,894,2,4067,1
"STANLEY MEDICAL COLLEGE, CHENNAI",Can consider,Tamil Nadu,1838,1778,13,4738,13,14337,6
"INST OF PG MED EDU & RESEARCH,KOLKATA",,West Bengal,1957,3045,12,4459,9,5133,1
"Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru",,Karnataka,2019,4596,10,7701,10,13443,5
"BELGAUM INST. OF MEDICAL SCI., BELGAUM",,Karnataka,2006,6873,10,5702,4,15845,3
"PATNA MEDICAL COLLEGE, PATNA",Location issue,Bihar,1925,3005,12,2515,2,--,--
Govt Medical College Firozabad,,Uttar Pradesh,2019,8850,6,11712,6,16446,4
Govt Medical College Badaun,,Uttar Pradesh,2019,9871,7,11658,6,17078,3
"Autonomous State Medical College Society , Mirzapur",,Uttar Pradesh,2021,12620,5,14713,4,19092,1
"UTTARANCHAL F HOSP TRUST MC,HALDWANI",Can consider,Uttarakhand,2001,6446,7,8270,6,14470,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"PT. B.D. SHARMA PGIMS, ROHTAK",Bond and haryana,Haryana,1960,4811,13,7932,12,9111,4
,,,,,,,,,
PROBABLE OPTIONS,,,,,,,,,
"MEDICAL COLLEGE, BHAVNAGAR",,Gujarat,1995,6218,13,8346,13,13139,6
"DR.RAJENDRA PRASAD MC, TANDA",,Himachal Pradesh,1996,4558,8,5232,5,--,--
,,,,,,,,,
,,,,,,,,,
"S.C.B. MEDICAL COLLEGE, CUTTACK",Location issue,Odisha,1944,2477,14,3905,4,10103,1
Osmania Medical College Koti,Location issue,Telangana,1946,4090,14,6187,12,11254,2
Gandhi Medical College Musheerabad Secunderabad,Location issue,Telangana,1954,2264,12,2600,3,9451,1
"Indira Gandhi Institute of Medical Sciences, Patna",Location issue,Bihar,2011,4157,5,4953,4,9118,3
"Government Medical college, Srinagar ",Location issue,Jammu & Kashmir,1959,5223,10,--,--,--,--
,,,,,,,,,
COLLEGES TO BE LOOKED AT,,,,,,,,,
"GUWAHATI MEDICAL COLLEGE, GUWAHATI",Can consider,Assam,1960,6955,11,9907,8,15363,1
"AIIMS, Deogarh",,Jharkhand,2019,4010,49,4203,26,7975,5
"Sagar Dutta Medical College & Hospital, Kolkata",Can consider,West Bengal,2011,6155,7,8677,7,15414,3
"ESIC PGIMSR, Joka, Kolkata, WB",Can consider,West Bengal,2013,6870,7,9892,7,16149,2
"Kalpana Chawla Govt. Medical College, Karnal",Can consider,Haryana,2017,7377,7,10306,7,16283,6
"GOVT. MEDICAL COLLEGE, KOZHIKODE",,Kerala,1957,1555,15,3030,2,--,--
"GOVT.MEDICAL COLLEGE,THIRUVANANTHAPURAM",,Kerala,1951,2274,13,4434,4,8933,1
"GOVT. KILPAUK MEDICAL COLLEGE,CHENNAI",,Tamil Nadu,1960,2802,8,8228,7,17032,6
"Andhra Medical College, Visakhapatnam",Can consider,Andhra Pradesh,1923,5071,16,7795,7,15778,2
"GURU GOVIND SINGH MED COLL,FARIDKOT",Can consider,Punjab,1973,5614,10,7052,9,12831,1
"JHALAWAR MEDICAL COLLEGE, Jhalawar",Can consider,Rajasthan,2008,5664,12,8186,12,12685,11
"Pt. J N M MEDICAL COLLEGE, RAIPUR",Can consider,Chhattisgarh,1963,6178,11,9873,8,16469,4
"Government Medical College, Jammu ",,Jammu & Kashmir,1972,8229,9,9813,5,10792,3
"S.S. MEDICAL COLLEGE, REWA",Can consider,Madhya Pradesh,1963,7576,9,10111,8,15585,6
"VIJAYNAGAR INST OF MED. SC,BELLARY",Can consider,Karnataka,1961,9893,11,12938,10,17602,4
"SKIMS Medical College, Srinagar ",,Jammu & Kashmir,1988,8665,8,11583,5,15887,1
"MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR",,Odisha,1962,7055,15,11809,9,18147,4
"GOVERNMENT MEDICAL COLLEGE, MIRAJ",Can consider,Maharashtra,1962,10612,12,12392,12,18165,7
"BUNDELKHAND MEDICAL COLLEGE, SAGAR",,Madhya Pradesh,2009,8569,8,11219,8,16526,4
"MANDYA INST. OF MEDICAL SCI., MANDYA",,Karnataka,2006,9002,8,12495,7,18672,4
"AIIMS, Madurai",,Tamil Nadu,2021,4737,19,5947,17,11177,11
Dr. B.R. Ambedkar State Institute of Medical Sciences,Can consider,Punjab,2021,4845,5,6649,4,7691,1
"SLBS Govt. Medical College, Mandi",Can consider,Himachal Pradesh,2017,6185,7,6352,6,11264,4
"BURDWAN MEDICAL COLLEGE,BURDWAN",Can consider,West Bengal,1969,7863,11,11086,11,17169,5
"SHIMOGA INST. OF MEDICAL SCI., SHIMOGA",Can consider,Karnataka,2007,10808,9,14305,5,19798,3
"V.S.S. MEDICAL COLLEGE, BURLA",,Odisha,1959,8770,13,13815,12,20181,8
"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA",Can consider,Madhya Pradesh,2018,8937,10,11183,10,17754,8
,,,,,,,,,
,,,,,,,,,
REJECTED LIST,,,,,,,,,
"GOVT. MEDICAL COLLEGE, KOTTAYAM",,Kerala,1960,3054,10,6465,7,--,--
"GOVT.MEDICAL COLLEGE, THRISSUR",,Kerala,1981,3720,10,7934,9,12429,1
"KURNOOL MEDICAL COLLEGE, KURNOOL",Can consider,Andhra Pradesh,1957,8210,13,12427,9,20527,7
"COIMBATORE MEDICAL COLLEGE,COIMBATORE",,Tamil Nadu,1966,4468,11,9377,6,17785,6
"MADURAI MEDICAL COLLEGE, MADURAI",,Tamil Nadu,1954,5004,15,9857,7,18915,5
"GUNTUR MEDICAL COLLEGE, GUNTUR",Can consider,Andhra Pradesh,1946,7804,14,10262,8,19821,6
"Government Medical College, ESIC, Kollam",,Kerala,2017,7466,7,12560,7,15023,2
"Government Medical College, Omandurar",,Tamil Nadu,2015,5015,6,10357,6,18975,1
"GMC, Manjeri, Kerala",,Kerala,2013,7060,7,11186,6,17080,4
"T.D. MEDICAL COLLEGE, ALLAPPUZHA",,Kerala,1963,4757,11,9832,11,13987,5
Govt Medical College Kannur,,Kerala,1995,6239,5,9833,3,15490,3
"GOVT. VELLORE MEDICAL COLLEGE, VELLORE",,Tamil Nadu,2005,4793,5,10067,5,19173,5
"Govt Medical College, Ernakulam",,Kerala,2000,5631,7,11124,7,15336,2
Kakatiya Medical College Warangal,,Telangana,1959,9598,10,13832,9,19832,5
"Siddartha Medical College, Vijayawada",,Andhra Pradesh,1980,10840,9,11885,7,20258,2
"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR",Can consider,Maharashtra,1963,9816,12,12204,12,17367,7
"Dr.Radhakrishnan Government Medical College, Hamirpur",Can consider,Himachal Pradesh,2018,7601,6,9426,6,14299,1
"NORTH BENGAL MED.COLL,DARJEELING",Can consider,West Bengal,1968,8413,11,11558,10,16695,2
"BANKURA SAMMILANI MED COLL,BANKURA",,West Bengal,1956,10087,12,12454,10,19068,5
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,Can consider,Maharashtra,2001,10409,10,12643,10,18491,6
"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI",Can consider,West Bengal,2010,8389,8,11546,7,18286,5
"Employees State Insurance Corporation Medical College, Alwar",,Rajasthan,2021,6304,6,7749,6,11116,2
"Sri Venkateswara Medical College, Tirupati",,Andhra Pradesh,1960,10170,15,14326,12,20725,7
"NALANDA MEDICAL COLLEGE, PATNA",,Bihar,1970,5646,8,8659,7,11933,5
"THANJAVUR MEDICAL COLL.,THANJAVUR",,Tamil Nadu,1959,7391,10,14213,10,19760,6
"GOVT. MOHAN KUMARAMANGALAM M.C.,SALEM",,Tamil Nadu,1986,8235,6,13333,6,19906,1
"CHENGALPATTU MEDICAL COLL,CHENGALPATTU",,Tamil Nadu,1965,7838,7,14106,7,20355,5
"Rangaraya Medical College, Kakinada",,Andhra Pradesh,1958,10422,14,9519,3,20487,3
"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAPALLI",,Tamil Nadu,1998,10140,8,14771,7,20447,3
"GOVT. MEDICAL COLLEGE,TIRUNELVELI",,Tamil Nadu,1965,8299,14,11812,7,18287,2
"ESIC Medical College AND PGIMSR, Chennai",,Tamil Nadu,2013,7581,8,11829,8,16803,2
"Govt. Medical College ESI and Hospital, Coimbatore",,Tamil Nadu,2016,8574,7,12894,7,19520,6
"ESIC Medical College & Hospital, Bihta",,Bihar,2021,10390,6,12777,4,16372,1
"SHKM GMC, Nalhar, Mewat, Haryana",,Haryana,2013,9924,8,13640,8,19926,5
"Darbhanga Medical College, Laheriasarai",,Bihar,1946,6642,7,9516,7,14449,4
"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA",,Bihar,2013,7793,7,10538,7,17087,7
"Jawaharlal Nehru Medical College, Bhagalpur",,Bihar,1971,8100,7,10415,6,16757,5
"GOVERNMENT MEDICAL COLLEGE, LATUR",,Maharashtra,2002,11916,9,14774,9,19918,4
"GOVERNMENT MEDICAL COLLEGE, AKOLA",,Maharashtra,2002,11801,12,14187,12,20216,10
"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED",,Maharashtra,1988,10839,8,12555,7,17367,7
"M.G.M. MEDICAL COLLEGE,JAMSHEDPUR",,Jharkhand,1961,5235,2,10026,7,16109,7
"SRI KRISHNA MEDICAL COLLEGE, MUZAFFARPUR",,Bihar,1970,8378,6,11079,5,15155,2
"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA",,Bihar,1970,8555,5,11076,4,16465,2
Govt Medical College Ratlam,,Madhya Pradesh,2018,9660,10,11769,10,17196,6
"Govt. Medical College, Khandwa",,Madhya Pradesh,2018,11131,7,12970,7,18069,2
"Goverment Medical College, Datia",,Madhya Pradesh,2018,11079,6,12858,6,--,--
Govt Medical College Baramati,,Maharashtra,2019,10218,6,12402,6,16828,2
"SWAMI RAMANAND TiRTH RURAL M.C,AMBAJOGAI",,Maharashtra,1974,12363,9,14188,9,18877,4
"SHRI BHAUSAHEB HIRE GOVT. M.C., DHULE",,Maharashtra,1988,11771,8,13774,8,16550,3
"ASSAM MEDICAL COLLEGE, DIBRUGARH",Can consider,Assam,1947,10967,11,15478,9,20346,5
"SH VASANT RAO NAIK GOVT.M.C.,YAVATMAL",,Maharashtra,1989,13108,14,14868,14,19326,6
"HASSAN INST. MEDICAL SCIENCES, HASSAN",,Karnataka,2006,10111,9,14312,9,20080,3
"RAICHUR INST. OF MEDICAL SCI., RAICHUR",Can consider,Karnataka,2007,12825,7,15136,7,20509,6
"SUH Maulana Mahmood Hasan Medical College, Saharanpur",,Uttar Pradesh,2015,9005,6,10502,5,15258,2
"Government Medical College, Pali",,Rajasthan,2018,7436,10,9941,10,13628,6
"Government Medical College, Bhilwara",,Rajasthan,2018,6568,8,9343,8,13895,7
"Government Medical College, Bharatpur",,Rajasthan,2018,7122,9,9924,9,14235,9
"Gulbarga Institute of Medical Sciences, Gulbarga",,Karnataka,2015,11797,8,14495,8,19973,4
"Dr. YS Parmar Govt. Medical College, Nahan",,Himachal Pradesh,2016,6650,7,8897,7,14401,3
"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba",,Himachal Pradesh,2017,7058,8,9853,8,14528,4
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,,Rajasthan,2020,5966,6,8422,6,12283,3
"Govt Medical College, Churu",,Rajasthan,2018,7615,9,10352,9,13524,6
Govt Medical College Barmer Rajasthan,,Rajasthan,2019,8091,7,10960,7,14287,6
Chhindwara Institute of Medical Sciences,,Madhya Pradesh,2019,11829,6,13732,6,18929,5
Govt Medical college Shivpuri,,Madhya Pradesh,2019,10253,5,12561,5,17869,3
Govt Medical College Shahdol,,Madhya Pradesh,2019,12043,7,13881,7,19132,7
"Govt Medical College, Dungarpur",,Rajasthan,2018,8313,8,11247,8,14706,9
"REGIONAL INST OF MEDICAL SCI, IMPHAL",,Manipur,1972,6677,5,12505,3,--,--
"SILCHAR MEDICAL COLLEGE, SILCHER",,Assam,1968,13096,8,16949,7,21089,6
"Rajah Muthiah Medical College, Annamalai Universit",,Tamil Nadu,1985,12698,8,17074,8,21452,4
"MIDNAPORE MEDICAL COLLEGE, MIDNAPUR",,West Bengal,2001,11179,11,13974,11,19073,2
Gadag Institute of Medical Sciences,,Karnataka,2015,14340,9,16763,8,20865,5
"THOOTHUKUDI MEDICAL COLLEGE,THOOTHUKUDI",,Tamil Nadu,2000,11178,8,16819,6,21155,2
"THENI GOVT. MEDICAL COLLEGE, THENI",,Tamil Nadu,2006,9785,6,15518,6,20746,4
"GVMC, VILLUPURAM",,Tamil Nadu,2010,11648,7,17257,7,21412,3
"GOVT. DHARAMAPURI MED COLL,DHARMAPURI",,Tamil Nadu,2008,11257,5,16904,5,21099,4
"Government Medical College, Ananthapuram",,Andhra Pradesh,2000,14148,9,17182,9,21091,3
"Indira Gandhi Medical College & RI, Puducherry",,Pondicherry,2010,8356,10,11625,10,20097,7
"NEIGRIHMS, SHILLONG",,Meghalaya,2008,9532,8,13623,7,18342,2
"Jorhat Medical College and Hospital, JORHAT",,Assam,2010,14435,8,17645,8,21562,6
"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA",,Tripura,2005,14566,9,18900,7,21597,4
"JLN IMS, IMPHAL",,Manipur,2010,13835,10,16791,10,21097,6
Goverment Medical College And Hospital Jalgaon,,Maharashtra,2018,12267,9,15116,9,20079,5
Government Medical College Khaleelwadi,,Telangana,2013,15126,7,16589,5,19446,1
"RIMS, Ongole",,Andhra Pradesh,2011,14915,10,17997,10,21725,5
"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad",,Jharkhand,1969,8245,3,10520,2,17782,1
"Government Medical College, Mahabubangar",,Telangana,2016,14831,9,17260,9,20926,2
RIMS Srikakulam,,Andhra Pradesh,2008,14966,6,17841,6,20399,2
Government Medical College Siddipet,,Telangana,2018,15136,7,17938,7,21121,3
"ACSR Govt Medical College, Nellore",,Andhra Pradesh,2014,13231,10,16524,9,18260,2
