College _Name,,State,Year of Inception,"R1 Closing Rank
2022","Total 
Seat Alloted in R1","R2 Closing Rank
2022","Total 
Seat Alloted in R2","R3 Closing Rank
2022","Total 
Seat Alloted in R3"
"Pt. Raghunath Murmu Med. College, Baripada",,Odisha,2017,13611,7,17499,7,20559,3
"Govt. Pudukkottai Medical College Hopt., Pudukkott",,Tamil Nadu,2017,14010,9,18768,9,21964,2
"Government Medical College, Chittorgarh",,Rajasthan,2022,8422,6,11756,6,14610,4
"Government Medical College, Dholpur",,Rajasthan,2022,9844,6,12290,6,15477,4
"Government Medical College, Sirohi",,Rajasthan,2022,9256,7,12061,7,15460,7
"Government Medical College, Sri Ganganagar",,Rajasthan,2022,--,--,11241,5,13578,1
"GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL, SATARA",,Maharashtra,2021,13470,7,16081,6,20371,2
"Government Medical College & Hospital, Alibag-Raigad",,Maharashtra,2021,13886,6,15978,6,20784,5
"Government Medical College, Sindhudurg",,Maharashtra,2021,14232,6,16555,6,21016,7
"SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG ( Formerly called as- Hazaribagh Medical College, Hazaribag)",,Jharkhand,2019,11435,6,15271,6,19661,4
"Government of Medical College and Hospital, Balasore",,Odisha,2018,12583,6,16730,6,20792,3
"Goverment Medical College, Bettiah",,Bihar,2013,10382,9,14045,9,18734,4
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,,West Bengal,2019,13485,5,16040,5,20217,2
Deben Mahata Government Medical College & Hospital,,West Bengal,2020,12819,6,16110,6,17890,1
Raiganj Government Medical College,,West Bengal,2019,13869,7,15848,7,19792,1
Maharaja Jitendra Narayan Medical College and Hospital Coochbehar,,West Bengal,2019,13593,7,15942,6,19896,2
"Fakhruddin Ali Ahmed Medical College, Barpeta",,Assam,2012,15128,7,17908,7,21695,4
"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru",,Karnataka,2022,16275,8,19148,8,21762,4
Barasat Government Medical College & Hospital,,West Bengal,2022,12531,6,15767,5,--,--
"Saheed Laxman Nayak Med. College and Hos., Koraput",,Odisha,2017,14265,7,17720,7,21022,1
"Bhima Bhoi Medical College and Hospital , Balangir",,Odisha,2018,13309,5,17461,5,20823,2
"Sri Jagannath Medical College & Hospital, Puri",,Odisha,2021,10836,6,12338,4,20193,3
Government Medical College Suryapet,,Telangana,2019,16107,10,18656,10,21713,5
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,,Maharashtra,2020,11960,6,15362,6,20488,6
"Jannayak Karpoori Thakur Medical college and Hospital, Madhepura Bihar",,Bihar,2020,--,--,15800,6,19297,3
Government Medical College Nalgonda,,Telangana,2019,16046,8,18637,8,21633,4
Government Medical College Anantnag,,Jammu & Kashmir,2019,10759,6,17105,6,21197,6
Government Medical College Baramulla,,Jammu & Kashmir,2019,16526,7,18448,7,21125,5
"Government Medcial College, Rajmata shrimati devendra kumari singhdeo government medical college, Ambikapur",,Chhattisgarh,2016,13704,7,16922,6,20586,4
"Chandulal Chandrakar Memorial Medical College, Durg",,Chhattisgarh,2013,--,--,18499,10,20408,5
"Government Medical College, Alwar",,Rajasthan,2023,,,,,,
"Government Medical College, Bundi",,Rajasthan,2023,,,,,,
"Government Medical College, Hanumangarh",,Rajasthan,2023,,,,,,
"Government Medical College, Karauli",,Rajasthan,2023,,,,,,
"Dr. Rajdendra Gode Medical College, Amravati",,Maharashtra,2023,--,--,--,--,--,--
"Government Medical college and District Hospital, Ratnagiri",,Maharashtra,2023,,,,,,
"GOVERNMENT MEDICAL COLLEGE, OSMANABAD, Maharashtra",,Maharashtra,2022,15453,6,16937,6,21050,5
"GMERS Medical College, Panchmahal Godhra",,Gujarat,2022,13910,3,16236,3,21312,3
"Government Medical College, Porbandar",,Gujarat,2022,13497,7,16832,7,20554,6
"GMERS Medical College, Morbi",,Gujarat,2022,14052,6,17043,5,20268,4
"GMERS Medical College, Navsari, Adarsh Nivasi Shala Campus, Jalalpore, Dist - Navsari., Gujarat",,Gujarat,2022,14579,7,17715,7,21101,6
"GMERS Medical College, Rajpipla Vadia Palace, Dist Narmada, Gujarat",,Gujarat,2022,15077,6,18191,6,21515,5
"Government Medical College, Thiruvallur",,Tamil Nadu,2021,12024,5,18618,5,21679,2
"Government Medical College, Tiruppur",,Tamil Nadu,2021,14467,5,18460,5,21075,1
"Government Medical College, Virudhunagar",,Tamil Nadu,2021,15972,9,18157,6,21580,2
"Government medical College, Namakkal",,Tamil Nadu,2021,15591,7,19223,7,22221,7
"Government Medical College, Dindigul",,Tamil Nadu,2021,15686,9,19363,7,21885,2
"Government Medical College, Sundargarh",,Odisha,2022,16246,7,19273,7,19979,2
"Government Medical College, Krishnagiri",,Tamil Nadu,2021,16732,8,19657,8,21935,4
"Government Medical College, Ramanathapuram",,Tamil Nadu,2021,16771,7,19522,7,22198,2
"Government Medical College, Kallakurichi",,Tamil Nadu,2021,16605,8,19673,8,22154,2
"Government Medical College, Ariyalur",,Tamil Nadu,2021,16601,9,19635,8,22149,3
"Government Medical College, Nilgiris",,Tamil Nadu,2021,14666,7,19025,7,21902,2
"Government Medical College, Nagapattinam",,Tamil Nadu,2021,16897,9,19641,7,22237,3
"Government Medical College & Hospital, Jalpaiguri",,West Bengal,2022,14003,6,17346,6,20615,4
Sarat Chandra Chattopadhyay Government Medical College & Hospital,,West Bengal,2022,14816,6,17761,6,20732,3
Prafulla Chandra Sen Government Medical College & Hospital,,West Bengal,2022,15642,6,17365,6,20722,3
Tamralipto Government Medical College & Hospital,,West Bengal,2022,14979,5,18114,5,20799,3
"Jhargram Government Medical College and Hospital, West Bengal",,West Bengal,2022,--,--,18673,6,20394,3
"Haveri Institute of Medical Sciences, Karnataka",,Karnataka,2022,16638,8,19319,8,21960,6
"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI, Karnataka",,Karnataka,2022,16558,8,18574,8,21855,5
"Government Medical College, Sangareddy",,Telangana,2022,17401,9,19491,9,21800,3
"Government Medical College, Nagarkurnool",,Telangana,2022,17366,9,19895,9,21969,5
"Government Medical College, Wanaparthy",,Telangana,2022,17323,9,19947,9,22196,7
"Government Medical College, Bhadradri Kothagudem",,Telangana,2022,17316,7,19935,7,21914,3
"Government Medical College, Mahabubabad",,Telangana,2022,16429,8,19410,8,21366,4
" Government Medical College, Jagtial",,Telangana,2022,17233,9,19879,9,22119,6
"Government Medical College, Mancherial",,Telangana,2022,--,--,19931,7,21765,3
"Government Medical College, Ramagundam",,Telangana,2022,--,--,20004,8,22130,3
"Government Medical College, Keonjhar",,Odisha,2022,15798,5,19154,5,21428,3
"Phulo Jhano Medical College , Dumka",,Jharkhand,2019,12800,6,16117,6,19917,5
"Medinirai Medical College (previously Known as Palamu Medical College), Palamu",,Jharkhand,2019,14118,6,17002,6,19457,1
Government Medical College Doda ,,Jammu & Kashmir,2020,16564,4,17132,4,21492,4
Government Medical College Kathua,,Jammu & Kashmir,2019,14510,6,13967,2,--,--
"Government Medical College, Jayashankar Bhupalpally",,Telangana,2023,,,,,,
"Government Medical College, Kamareddy",,Telangana,2023,,,,,,
"Government Medical College, Khammam",,Telangana,2023,,,,,,
"Government Medical College, Kumuram Bheem Asifabad",,Telangana,2023,,,,,,
"Government Medical College, Vikarabad",,Telangana,2023,,,,,,
"Government Medical College, Rajanna Sircilla",,Telangana,2023,,,,,,
Government Medical College Bhawanipatna,,Odisha,2023,,,,,,
"Government Medical College, Konni Kerala",,Kerala,2022,10495,4,15106,4,20439,4
"Government Medical College, Vizianagaram",,Andhra Pradesh,2023,,,,,,
"Government Medical College, Eluru",,Andhra Pradesh,2023,,,,,,
"Government Medical College, Nandyal",,Andhra Pradesh,2023,,,,,,
"Government Medical College, Kanker, Chhattisgarh",,Chhattisgarh,2021,13592,7,17316,7,21083,7
"Government Medical College, Mahasamund",,Chhattisgarh,2022,15350,7,18654,7,20963,4
"Government Medical College, Korba",,Chhattisgarh,2022,15315,5,18306,5,21196,4
"Government Medical College, Handwara",,Jammu & Kashmir,2023,,,,,,
"Government Medical College, Udhampur",,Jammu & Kashmir,2023,,,,,,
"Government Medical College, Idukki.",,Kerala,2022,9194,6,14598,6,20098,4
Government Medical College Rajouri,,Jammu & Kashmir,2019,15976,7,17096,6,--,--
"Diphu Medical College & Hospital, Assam",,Assam,2020,15669,7,19408,7,21950,5
"Lakhimpur Medical College, North Lakhimpur, Assam",,Assam,2021,15701,5,19392,5,21829,4
"Dhubri Medical College, Assam,Dhubri",,Assam,2022,--,--,19211,4,21868,3
"Nalbari Medical College, Nalbari",,Assam,2023,,,,,,
"Kokrajhar Medical College, Rangalikhata",,Assam,2023,--,--,--,--,--,--
"Nagaon Medical College,Nagaon, Assam",,Assam,2023,--,--,--,--,--,--
"Tomo Riba Institute Health and Medical Sciences, Naharlagun",,Arunachal Pradesh,2018,14630,2,18410,2,21374,1
ZORAM MEDICAL COLLEGE Falkawn,,Mizoram,2018,16049,7,19356,7,22170,7
"Government Medical College, Churachandpur",,Manipur,2022,16300,6,19259,6,21951,6
Nagaland Institute of Medical Sciences & Research,,Nagaland,2023,,,,,,
,,,,,,,,,
,,,,,,,,,
NEW COLLEGES,,,,,,,,,
