R1_closing_AIR,R1_opening_AIR,seats_in_band,state,college
11786,11786,1,Andhra Pradesh,"Government Medical College, Ananthapuram"
11815,11815,1,Assam,"Jorhat Medical College And Hospital, Jorhat"
11845,11086,3,Rajasthan,"Government Medical College, Banswara"
11883,10965,8,Karnataka,"Bidar Institute Of Medical Sci., Bidar"
11895,9857,11,West Bengal,"Bankura Sammilani Med Coll, Bankura"
11917,10713,6,Uttarakhand,Soban Singh Jeena Government Institute Of Medical Science &
11929,9409,4,Jammu And Kashmir,"Government Medical College, Kathua"
11960,10247,6,,"Govt. Medical College, Khandwa"
11990,11541,4,Tamil Nadu,"Government Medical College, Kallakurichi"
12014,9246,4,Andaman & Nicobar,"Andaman And Nicobar Islands Institute Of Medical S, Director Aniims"
12027,11601,3,Maharashtra,"Govt. Medical College And Hospital, Chandrapur"
12056,11790,3,Jharkhand,"Sheikh Bhikhari Medical College & Hospital, Hazaribag ( Formerly Called"
12091,11606,2,Chhattisgarh,"Lt. L A M Govt. Medical College, Raigarh"
12093,12093,1,Maharashtra,"Government Medical College And District General Hospital, Ratnagiri"
12096,10060,7,Karnataka,"Kodagu Institute Of Medical Sciences, Kodagu"
12163,9939,3,Jammu And Kashmir,"Government Medical College, Anantnag J&K"
12166,11715,5,Rajasthan,"Government Medical College, Baran"
12178,10664,4,Maharashtra,Government Medical College And General Hospital
12184,10279,4,Manipur,"Regional Inst Of Medical Sci, Imphal"
12233,11320,3,Maharashtra,"Government Medical College, Latur"
12262,11982,7,Tamil Nadu,"Government Medical College, Nagapattinam"
12288,12288,1,Karnataka,"Haveri Institute Of Medical Sciences, Karnataka"
12303,11172,3,Karnataka,C. Institute Of Medical Sciences
12313,12135,2,Jammu And Kashmir,"Government Medical College, Baramulla"
12341,12341,1,Tripura,"Agartala Govt. Medical College, Agartala"
12352,10649,6,Andhra Pradesh,"Acsr Govt Medical College, Nellore"
12354,12083,3,Bihar,"Goverment Medical College, Bettiah"
12370,12370,1,Madhya Pradesh,"Virendra Kumar Sakhlecha Government Medical College, Neemuch"
12424,11827,3,Odisha,"Bhima Bhoi Medical College And Hospital, Balangir"
12463,10560,4,Odisha,"Pt. Raghunath Murmu Med. College, Baripada"
12520,12127,4,Karnataka,"Chikkaballapura Institute Of Medical Sciences, Karnataka"
12648,12648,1,Maharashtra,"Government Medical College, Bhandara"
12676,11446,4,West Bengal,"Midnapore Medical College, Midnapur"
12677,10446,8,Maharashtra,"Shri Bhausaheb Hire Govt. M.C., Dhule"
12681,12009,2,Maharashtra,"Swami Ramanand Tirth Rural M.C, Ambajogai"
12698,12535,2,Karnataka,"Karwar Institute Of Medical Sciences, Karwar"
12719,8213,8,Andhra Pradesh,"Svims - Sri Padmavathi Medical College For Women, Tirupati"
12744,11134,3,Madhya Pradesh,Government Medical College Satna
12749,10864,2,Jammu And Kashmir,"Government Medical College, Anantnag"
12759,8098,3,Madhya Pradesh,"Government Medical College, Seoni"
12773,12773,1,Assam,"Tezpur Medical College, Tezpur"
12797,12797,1,Chhattisgarh,"Government Medical College, Kanker"
12808,9646,2,Jammu And Kashmir,"Government Medical College, Doda"
12815,8637,7,Maharashtra,"Government Medical College, Akola"
12859,9728,3,Madhya Pradesh,"Chhindwara Institute Of Medical Sciences, Teachers Colony"
12938,11036,5,,"Goverment Medical College, Datia"
12965,11259,4,Telangana,Rajiv Gandhi Institute Medical Sce Of Adilabad
12980,10994,6,Karnataka,"Raichur Inst. Of Medical Sci., Raichur"
